Payload,Ground Station,Antenna,Diameter (m),Freq Band,Center Freq. (MHz),Latitude,Longitude,Altitude (km),G/T (dB/K),Max Rate (Mbps),Network(s),Priority
1,"Alaska, Fairbanks (ASF)",AS2,10,S-Band,2300.0,64.8595,-147.8495,0.3311,22.59,5,NEN,5
2,,AS2,10,X-Band,8187.5,64.8595,-147.8495,0.3311,36.36,375,NEN,5
3,,AS3,11,S-Band,2300.0,64.8589,-147.8541,0.3311,22.9,5,NEN,4
4,,AS3,11,X-Band,8187.5,64.8589,-147.8541,0.3311,36.2,375,NEN,4
5,,AS1,11.3,S-Band,2300.0,64.8587,-147.8577,0.3311,22,5,NEN,3
6,,AS1,11.3,X-Band,8212.5,64.8587,-147.8577,0.3311,37.16,375,NEN,3
7,,AS1,11.3,Ka-Band,26345.0,64.8587,-147.8577,0.3311,40.91,2000,NEN,3
8,"Alaska, North Pole",USAK02,5,S-Band,2300.0,64.8042,-147.5002,0.1506,16,5,NEN-Commercial,20
9,,USAK03,5.4,S-Band,2300.0,64.8047,-147.5042,0.1506,15,5,NEN-Commercial,21
10,,USAK03,5.4,X-Band,8250.0,64.8047,-147.5042,0.1506,31.5,375,NEN-Commercial,21
11,,USAK01,13,S-Band,2300.0,64.8042,-147.5002,0.1612,23.5,5,NEN-Commercial,22
12,,USAK01,13,X-Band,8250.0,64.8042,-147.5002,0.1612,37.7,375,NEN-Commercial,22
13,,USAK04,7.3,S-Band,2300.0,64.8047,-147.5042,0.4367,19.61,5,NEN-Commercial,23
14,,USAK04,7.3,X-Band,8250.0,64.8047,-147.5042,0.4367,31,375,NEN-Commercial,23
15,,USAK05,11,S-Band,2300.0,64.8034,-147.5006,0.4367,23.21,5,NEN-Commercial,24
16,,USAK05,11,X-Band,8300.0,64.8034,-147.5006,0.4367,37.22,375,NEN-Commercial,24
17,Bermuda,BER,6.1,S-Band,2250.0,32.3078,-64.7505,0.0000,17.2,5,NEN,25
